,0
0,2149051_送风温度001
1,2149052_送风温度001
2,2149053_送风温度001
3,2149054_送风温度001
4,2149055_送风温度001
5,2149056_送风温度001
6,2149057_送风温度001
7,2149058_送风温度001
8,2149059_送风温度001
9,2149060_送风温度001
10,2149061_送风温度001
11,2149062_送风温度001
12,2149063_送风温度001
13,2149064_送风温度001
14,2149065_送风温度001
15,2149066_送风温度001
16,2149067_送风温度001
17,2149068_送风温度001
18,2149069_送风温度001
19,2149070_送风温度001
20,2157521_冷通道温度
21,2157522_冷通道温度
22,2157523_冷通道温度
23,2157524_冷通道温度
24,2157525_冷通道温度
25,2157526_冷通道温度
26,2157527_冷通道温度
27,2157528_冷通道温度
28,2157529_冷通道温度
29,2157530_冷通道温度
30,2157531_冷通道温度
31,2157532_冷通道温度
32,2157533_冷通道温度
33,2157534_冷通道温度
34,2157535_冷通道温度
35,2157536_冷通道温度
36,2157537_冷通道温度
37,2157538_冷通道温度
